万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号,
000009.SZ,000009,20251209,91501420,186107,C,0, ,0,100,186106,0,
000009.SZ,000009,20251209,91503000,260956,C,0, ,0,1000,0,260952,
000009.SZ,000009,20251209,91505170,300098,C,0, ,0,2000,300096,0,
000009.SZ,000009,20251209,91507650,315460,C,0, ,0,200,279458,0,
000009.SZ,000009,20251209,91507650,315493,C,0, ,0,2000,315491,0,
000009.SZ,000009,20251209,91606480,339484,C,0, ,0,100,0,338797,
000009.SZ,000009,20251209,91606480,339485,C,0, ,0,100,0,338798,
000009.SZ,000009,20251209,91606480,339486,C,0, ,0,100,0,338800,
000009.SZ,000009,20251209,91606480,339487,C,0, ,0,100,0,338799,
000009.SZ,000009,20251209,91608170,340049,C,0, ,0,100,0,338315,
000009.SZ,000009,20251209,91614960,342103,C,0, ,0,1000,339212,0,
000009.SZ,000009,20251209,91732060,367622,C,0, ,0,3600,332794,0,
000009.SZ,000009,20251209,91812030,382471,C,0, ,0,1000,0,277375,
000009.SZ,000009,20251209,92500000,598256,0,0,S,103300,600,572622,93617,
000009.SZ,000009,20251209,92500000,598257,0,0,S,103300,300,252100,93617,
000009.SZ,000009,20251209,92500000,598258,0,0,B,103300,900,252100,270973,
000009.SZ,000009,20251209,92500000,598259,0,0,B,103300,500,252100,404345,
000009.SZ,000009,20251209,92500000,598260,0,0,B,103300,100,10202,404345,
000009.SZ,000009,20251209,92500000,598261,0,0,B,103300,100,23615,404345,
000009.SZ,000009,20251209,92500000,598262,0,0,S,103300,100,426835,404345,
000009.SZ,000009,20251209,92500000,598263,0,0,S,103300,200,561106,426185,
000009.SZ,000009,20251209,92500000,598264,0,0,B,103300,6800,561106,588020,
000009.SZ,000009,20251209,92500000,598265,0,0,S,103300,400,561106,482132,
000009.SZ,000009,20251209,92500000,598266,0,0,B,103300,600,561106,591162,
000009.SZ,000009,20251209,92500000,598267,0,0,B,103300,400,561106,590656,
000009.SZ,000009,20251209,92500000,598268,0,0,S,103300,600,592192,590656,
000009.SZ,000009,20251209,92500000,598269,0,0,S,103300,1300,592192,590876,
000009.SZ,000009,20251209,92500000,598270,0,0,S,103300,900,592319,590876,
000009.SZ,000009,20251209,92500000,598271,0,0,B,103300,1100,362765,590876,
000009.SZ,000009,20251209,92500000,598272,0,0,B,103300,8900,362765,596449,
000009.SZ,000009,20251209,92500000,598273,0,0,B,103300,300,479459,596449,
000009.SZ,000009,20251209,92500000,598274,0,0,S,103300,500,479459,478809,
000009.SZ,000009,20251209,92500000,598275,0,0,B,103300,2700,479459,597850,
000009.SZ,000009,20251209,92500000,598276,0,0,B,103300,1500,479459,597033,
000009.SZ,000009,20251209,92500000,598277,0,0,B,103300,100,408406,597033,
000009.SZ,000009,20251209,92500000,598278,0,0,B,103300,300,408406,597050,
000009.SZ,000009,20251209,92500000,598279,0,0,B,103300,400,541793,597050,
000009.SZ,000009,20251209,92500000,598280,0,0,B,103300,5800,541793,595518,
000009.SZ,000009,20251209,92500000,598281,0,0,B,103300,800,541793,596012,
000009.SZ,000009,20251209,92500000,598282,0,0,B,103300,900,567110,596012,
000009.SZ,000009,20251209,92500000,598283,0,0,B,103300,200,567110,596014,
000009.SZ,000009,20251209,92500000,598284,0,0,S,103300,1900,567110,79307,
000009.SZ,000009,20251209,92500000,598285,0,0,S,103300,100,370595,79307,
000009.SZ,000009,20251209,92500000,598286,0,0,B,103300,500,370595,576828,
000009.SZ,000009,20251209,92500000,598287,0,0,B,103300,100,370595,575187,
000009.SZ,000009,20251209,92500000,598288,0,0,S,103300,500,370595,13621,
000009.SZ,000009,20251209,92500000,598289,0,0,S,103300,500,370595,63963,
000009.SZ,000009,20251209,92500000,598290,0,0,S,103300,200,370595,110699,
000009.SZ,000009,20251209,92500000,598291,0,0,S,103300,200,370595,122358,
