万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
600007.SH,600007,20251209,91400860,0,0,S,I,0,0,
600007.SH,600007,20251209,91500300,0,1537,A,S,198000,10000,
600007.SH,600007,20251209,91500340,0,1849,A,S,216700,100,
600007.SH,600007,20251209,91501720,0,5548,A,S,191100,1600,
600007.SH,600007,20251209,91501830,0,8782,A,S,198800,100,
600007.SH,600007,20251209,91502090,0,11029,A,S,203100,200,
600007.SH,600007,20251209,91502220,0,12681,A,S,199900,10200,
600007.SH,600007,20251209,91502550,0,16023,A,S,209900,6000,
600007.SH,600007,20251209,91502660,0,16966,A,S,213500,600,
600007.SH,600007,20251209,91502940,0,21612,A,S,202700,1000,
600007.SH,600007,20251209,91503080,0,23455,A,S,198800,1000,
600007.SH,600007,20251209,91503080,0,23470,A,S,200000,1000,
600007.SH,600007,20251209,91503080,0,23485,A,S,201200,1000,
600007.SH,600007,20251209,91503080,0,24450,A,B,195800,1000,
600007.SH,600007,20251209,91503230,0,25268,A,S,206800,400,
600007.SH,600007,20251209,91503230,0,25554,A,S,199200,3000,
600007.SH,600007,20251209,91503230,0,25616,A,S,199500,2500,
600007.SH,600007,20251209,91503230,0,25659,A,S,199700,2500,
600007.SH,600007,20251209,91503230,0,25716,A,S,202000,500,
600007.SH,600007,20251209,91503230,0,25732,A,B,192000,500,
600007.SH,600007,20251209,91503650,0,31783,A,S,216000,200,
600007.SH,600007,20251209,91503780,0,32860,A,B,196000,200,
600007.SH,600007,20251209,91503930,0,34931,A,B,196500,100,
600007.SH,600007,20251209,91504090,0,36446,A,B,195500,400,
600007.SH,600007,20251209,91504370,0,40077,A,S,198800,1000,
600007.SH,600007,20251209,91504370,0,40100,A,S,199900,1000,
600007.SH,600007,20251209,91504370,0,40101,A,S,201200,1000,
600007.SH,600007,20251209,91504370,0,41895,A,S,199400,500,
600007.SH,600007,20251209,91504690,0,44943,A,B,195500,2600,
600007.SH,600007,20251209,91504840,0,46434,A,S,202000,2000,
600007.SH,600007,20251209,91504990,0,48663,A,S,210000,400,
600007.SH,600007,20251209,91505190,0,50606,A,S,200000,100,
600007.SH,600007,20251209,91505190,0,50614,A,S,204000,100,
600007.SH,600007,20251209,91505190,0,51069,A,S,208000,100,
600007.SH,600007,20251209,91505190,0,51074,A,S,212000,100,
600007.SH,600007,20251209,91505190,0,51157,A,B,194500,200,
600007.SH,600007,20251209,91505190,0,51163,A,S,208300,200,
600007.SH,600007,20251209,91505350,0,53445,A,B,195000,400,
600007.SH,600007,20251209,91505350,0,53972,A,S,197800,3100,
600007.SH,600007,20251209,91505350,0,54185,A,B,197000,900,
600007.SH,600007,20251209,91505500,0,56147,A,S,216300,600,
600007.SH,600007,20251209,91505990,0,61131,A,B,193100,100,
600007.SH,600007,20251209,91505990,0,61150,A,B,196000,3200,
600007.SH,600007,20251209,91505990,0,61224,A,S,201500,3100,
600007.SH,600007,20251209,91505990,0,61250,A,S,205500,3000,
600007.SH,600007,20251209,91505990,0,61251,A,S,205500,2900,
600007.SH,600007,20251209,91505990,0,61284,A,S,205500,2800,
600007.SH,600007,20251209,91505990,0,61304,A,S,209000,2500,
600007.SH,600007,20251209,91505990,0,62131,A,S,216700,100,
600007.SH,600007,20251209,91506130,0,62362,A,S,200400,500,
600007.SH,600007,20251209,91506130,0,62959,A,S,205000,10400,
600007.SH,600007,20251209,91506130,0,63053,A,S,214800,1100,
600007.SH,600007,20251209,91506290,0,65635,A,S,198600,2500,
600007.SH,600007,20251209,91506290,0,65662,A,B,195100,2500,
600007.SH,600007,20251209,91506440,0,66764,A,B,192800,1000,
600007.SH,600007,20251209,91506580,0,68605,A,S,205000,600,
600007.SH,600007,20251209,91507060,0,75649,A,B,195000,100,
600007.SH,600007,20251209,91507380,0,78577,A,B,196500,500,
600007.SH,600007,20251209,91507530,0,80431,A,S,199500,8000,
600007.SH,600007,20251209,91507530,0,80443,A,B,195500,8000,
600007.SH,600007,20251209,91507670,0,81938,A,S,216600,2000,
600007.SH,600007,20251209,91507670,0,83067,A,B,194900,100,
600007.SH,600007,20251209,91507820,0,83900,A,S,205000,1300,
600007.SH,600007,20251209,91507820,0,83905,A,S,211200,1300,
600007.SH,600007,20251209,91507820,0,84680,A,S,199500,1300,
600007.SH,600007,20251209,91507820,0,84740,A,S,199300,1100,
600007.SH,600007,20251209,91507970,0,86570,A,B,190000,2000,
600007.SH,600007,20251209,91507970,0,86647,A,S,198300,1000,
600007.SH,600007,20251209,91507970,0,87315,A,S,201600,1400,
600007.SH,600007,20251209,91508130,0,87414,A,S,211800,100,
600007.SH,600007,20251209,91508780,0,94916,A,S,200900,300,
600007.SH,600007,20251209,91508780,0,95758,A,B,196100,100,
600007.SH,600007,20251209,91508780,0,95759,A,S,198900,200,
600007.SH,600007,20251209,91508780,0,96296,A,S,216700,900,
600007.SH,600007,20251209,91508780,0,96427,A,S,203900,1500,
