万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号,
000059.SZ,000059,20251209,91806110,336189,C,0, ,0,600,333789,0,
000059.SZ,000059,20251209,91829970,344169,C,0, ,0,900,338557,0,
000059.SZ,000059,20251209,92500000,553773,0,0,B,51500,100,283274,400616,
000059.SZ,000059,20251209,92500000,553774,0,0,B,51500,100,283278,551597,
000059.SZ,000059,20251209,92500000,553775,0,0,B,51500,100,283279,551597,
000059.SZ,000059,20251209,92500000,553776,0,0,B,51500,200,290421,551597,
000059.SZ,000059,20251209,92500000,553777,0,0,B,51500,200,290422,551597,
000059.SZ,000059,20251209,92500000,553778,0,0,B,51500,200,290439,551597,
000059.SZ,000059,20251209,92500000,553779,0,0,B,51500,100,309744,551597,
000059.SZ,000059,20251209,92500000,553780,0,0,B,51500,100,309777,551597,
000059.SZ,000059,20251209,92500000,553781,0,0,B,51500,100,376156,551597,
000059.SZ,000059,20251209,92500000,553782,0,0,B,51500,100,376192,551597,
000059.SZ,000059,20251209,92500000,553783,0,0,B,51500,100,377831,551597,
000059.SZ,000059,20251209,92500000,553784,0,0,B,51500,200,377860,551597,
000059.SZ,000059,20251209,92500000,553785,0,0,B,51500,500,404734,551597,
000059.SZ,000059,20251209,92500000,553786,0,0,B,51500,3800,507499,551597,
000059.SZ,000059,20251209,92500000,553787,0,0,S,51500,1100,551900,551597,
000059.SZ,000059,20251209,92500000,553788,0,0,B,51500,100,475849,551597,
000059.SZ,000059,20251209,92500000,553789,0,0,B,51500,300,533623,551597,
000059.SZ,000059,20251209,92500000,553790,0,0,S,51500,8400,551975,551597,
000059.SZ,000059,20251209,92500000,553791,0,0,B,51500,1400,550969,551597,
000059.SZ,000059,20251209,92500000,553792,0,0,B,51500,100,373952,551597,
000059.SZ,000059,20251209,92500000,553793,0,0,S,51500,1200,551650,551597,
000059.SZ,000059,20251209,92500000,553794,0,0,S,51500,700,551650,377345,
000059.SZ,000059,20251209,92500000,553795,0,0,S,51500,1000,551650,399623,
000059.SZ,000059,20251209,92500000,553796,0,0,S,51500,600,455030,399623,
000059.SZ,000059,20251209,92500000,553797,0,0,S,51500,100,455030,413782,
000059.SZ,000059,20251209,92500000,553798,0,0,S,51500,1400,528932,413782,
000059.SZ,000059,20251209,92500000,553799,0,0,S,51500,100,528932,483576,
000059.SZ,000059,20251209,92500000,553800,0,0,S,51500,100,528932,514174,
000059.SZ,000059,20251209,92500000,553801,0,0,S,51500,600,528932,516291,
000059.SZ,000059,20251209,92500000,553802,0,0,B,51500,500,528932,541454,
000059.SZ,000059,20251209,92500000,553803,0,0,B,51500,500,530290,541454,
000059.SZ,000059,20251209,92500000,553804,0,0,B,51500,200,530530,541454,
000059.SZ,000059,20251209,92500000,553805,0,0,B,51500,100,530530,535872,
000059.SZ,000059,20251209,92500000,553806,0,0,B,51500,200,530530,535968,
000059.SZ,000059,20251209,92500000,553807,0,0,S,51500,400,530530,192938,
000059.SZ,000059,20251209,92500000,553808,0,0,S,51500,100,528204,192938,
000059.SZ,000059,20251209,92500000,553809,0,0,S,51500,100,528743,192938,
000059.SZ,000059,20251209,92500000,553810,0,0,S,51500,700,530357,192938,
000059.SZ,000059,20251209,92500000,553811,0,0,S,51500,100,534942,192938,
000059.SZ,000059,20251209,92500000,553812,0,0,S,51500,100,535620,192938,
000059.SZ,000059,20251209,92500000,553813,0,0,S,51500,100,535625,192938,
000059.SZ,000059,20251209,92500000,553814,0,0,S,51500,100,537717,192938,
000059.SZ,000059,20251209,92500000,553815,0,0,S,51500,700,535710,192938,
000059.SZ,000059,20251209,92500000,553816,0,0,S,51500,600,535710,225195,
000059.SZ,000059,20251209,92500000,553817,0,0,S,51500,4400,535710,308878,
000059.SZ,000059,20251209,92500000,553818,0,0,S,51500,2000,377200,308878,
000059.SZ,000059,20251209,92500000,553819,0,0,S,51500,300,549981,308878,
000059.SZ,000059,20251209,92500000,553820,0,0,S,51500,400,550260,308878,
000059.SZ,000059,20251209,92500000,553821,0,0,S,51500,1000,550284,308878,
000059.SZ,000059,20251209,92500000,553822,0,0,S,51500,100,550301,308878,
000059.SZ,000059,20251209,92500000,553823,0,0,S,51500,2000,550330,308878,
000059.SZ,000059,20251209,92500000,553824,0,0,S,51500,5900,550608,308878,
000059.SZ,000059,20251209,92500000,553825,0,0,B,51500,1500,260371,308878,
000059.SZ,000059,20251209,92500000,553826,0,0,B,51500,300,286033,308878,
000059.SZ,000059,20251209,92500000,553827,0,0,B,51500,2000,288616,308878,
000059.SZ,000059,20251209,92500000,553828,0,0,S,51500,16200,396956,308878,
000059.SZ,000059,20251209,92500000,553829,0,0,S,51500,13900,412474,308878,
000059.SZ,000059,20251209,92500000,553830,0,0,B,51500,100,412474,537555,
000059.SZ,000059,20251209,92500000,553831,0,0,B,51500,600,426080,537555,
000059.SZ,000059,20251209,92500000,553832,0,0,B,51500,1400,510359,537555,
000059.SZ,000059,20251209,92500000,553833,0,0,S,51500,100,537895,537555,
000059.SZ,000059,20251209,93000040,647120,0,0,S,51500,2200,647119,537555,
000059.SZ,000059,20251209,93000090,677852,0,0,B,51500,400,647119,677851,
000059.SZ,000059,20251209,93000090,677853,0,0,B,51500,1600,655651,677851,
000059.SZ,000059,20251209,93000120,695645,0,0,S,51400,34800,695644,306835,
000059.SZ,000059,20251209,93000200,736020,0,0,S,51400,4900,736019,306835,
000059.SZ,000059,20251209,93000210,737331,0,0,B,51500,800,655651,737330,
000059.SZ,000059,20251209,93000210,737332,0,0,B,51500,700,667277,737330,
000059.SZ,000059,20251209,93000210,737333,0,0,B,51500,500,716154,737330,
000059.SZ,000059,20251209,93000260,757941,0,0,B,51500,4500,716154,757940,
000059.SZ,000059,20251209,93000260,757942,0,0,B,51500,400,724003,757940,
000059.SZ,000059,20251209,93000260,757943,0,0,B,51500,1600,754558,757940,
000059.SZ,000059,20251209,93000300,768223,0,0,B,51600,26100,59177,768222,
000059.SZ,000059,20251209,93000300,768224,0,0,B,51600,2800,71363,768222,
000059.SZ,000059,20251209,93000300,768225,0,0,B,51600,1000,104261,768222,
000059.SZ,000059,20251209,93000300,768226,0,0,B,51600,15800,174102,768222,
000059.SZ,000059,20251209,93000300,768227,0,0,B,51600,2500,244500,768222,
000059.SZ,000059,20251209,93000300,768228,0,0,B,51600,1800,666526,768222,
000059.SZ,000059,20251209,93000350,781966,0,0,S,51500,300,781965,757940,
000059.SZ,000059,20251209,93000350,781985,0,0,S,51500,2400,781984,757940,
000059.SZ,000059,20251209,93000350,782151,0,0,S,51500,100,782150,757940,
000059.SZ,000059,20251209,93000350,782162,0,0,S,51500,100,782161,757940,
000059.SZ,000059,20251209,93000350,782467,0,0,S,51500,100,782466,757940,
000059.SZ,000059,20251209,93000350,782511,0,0,S,51500,200,782510,757940,
000059.SZ,000059,20251209,93000350,782540,0,0,S,51500,400,782539,757940,
000059.SZ,000059,20251209,93000350,782576,0,0,S,51500,17000,782575,757940,
000059.SZ,000059,20251209,93000350,782585,0,0,S,51500,14000,782584,757940,
000059.SZ,000059,20251209,93000350,782674,0,0,S,51500,700,782673,757940,
000059.SZ,000059,20251209,93000350,784097,0,0,S,51500,100,784096,757940,
000059.SZ,000059,20251209,93000350,784228,0,0,S,51500,100,784227,757940,
000059.SZ,000059,20251209,93000350,784271,0,0,S,51500,100,784270,757940,
000059.SZ,000059,20251209,93000350,784527,0,0,S,51500,5600,784526,757940,
000059.SZ,000059,20251209,93000350,784529,0,0,S,51500,2300,784528,757940,
000059.SZ,000059,20251209,93000350,784530,0,0,S,51400,1200,784528,306835,
000059.SZ,000059,20251209,93000360,785590,0,0,S,51400,900,785589,306835,
000059.SZ,000059,20251209,93000360,785617,0,0,S,51400,100,785616,306835,
000059.SZ,000059,20251209,93000370,787123,0,0,S,51400,100,787122,306835,
000059.SZ,000059,20251209,93000380,790818,0,0,B,51600,1100,666526,790817,
000059.SZ,000059,20251209,93000380,790819,0,0,B,51600,900,776071,790817,
000059.SZ,000059,20251209,93000450,802108,0,0,B,51500,100,795238,802107,
000059.SZ,000059,20251209,93000480,807437,0,0,S,51400,100,807436,306835,
000059.SZ,000059,20251209,93000600,826298,0,0,S,51400,1700,826297,306835,
000059.SZ,000059,20251209,93000690,841297,0,0,S,51400,100,841296,306835,
000059.SZ,000059,20251209,93000730,846304,0,0,S,51400,4300,846303,306835,
000059.SZ,000059,20251209,93001090,899875,0,0,B,51500,100,806041,899874,
000059.SZ,000059,20251209,93001090,899876,0,0,B,51500,100,807682,899874,
000059.SZ,000059,20251209,93001090,899877,0,0,B,51500,100,821615,899874,
000059.SZ,000059,20251209,93001420,929357,0,0,B,51500,100,821615,929356,
000059.SZ,000059,20251209,93001430,930411,0,0,B,51500,100,821615,930410,
000059.SZ,000059,20251209,93001470,934163,0,0,B,51500,100,821615,934162,
000059.SZ,000059,20251209,93001530,939127,0,0,B,51500,100,821615,939126,
000059.SZ,000059,20251209,93002120,991429,0,0,S,51400,1800,991428,306835,
000059.SZ,000059,20251209,93002120,991430,0,0,S,51400,400,991428,792090,
000059.SZ,000059,20251209,93002430,1009390,0,0,S,51400,2200,1009389,792090,
000059.SZ,000059,20251209,93002430,1009877,0,0,S,51400,1200,1009876,792090,
000059.SZ,000059,20251209,93002430,1009878,0,0,S,51400,400,1009876,796880,
000059.SZ,000059,20251209,93002430,1009879,0,0,S,51400,400,1009876,995231,
000059.SZ,000059,20251209,93002580,1018992,C,0, ,0,5700,999788,0,
000059.SZ,000059,20251209,93003170,1056609,0,0,B,51400,200,1009876,1056608,
000059.SZ,000059,20251209,93003170,1056610,0,0,B,51400,2200,1012980,1056608,
000059.SZ,000059,20251209,93003280,1061932,0,0,B,51400,300,1012980,1061931,
000059.SZ,000059,20251209,93004200,1107020,0,0,B,51400,3300,1012980,1107019,
000059.SZ,000059,20251209,93004200,1107021,0,0,B,51400,1400,1013167,1107019,
000059.SZ,000059,20251209,93004320,1111188,C,0, ,0,4400,1013167,0,
000059.SZ,000059,20251209,93004320,1111192,C,0, ,0,3600,1013176,0,
000059.SZ,000059,20251209,93004330,1111380,C,0, ,0,100,822105,0,
000059.SZ,000059,20251209,93004330,1111384,C,0, ,0,100,0,1026518,
000059.SZ,000059,20251209,93004600,1123192,0,0,S,51300,500,1123191,33850,
000059.SZ,000059,20251209,93004600,1123235,0,0,S,51300,600,1123234,33850,
000059.SZ,000059,20251209,93004610,1123540,0,0,S,51300,600,1123539,33850,
000059.SZ,000059,20251209,93004610,1123558,0,0,S,51300,200,1123557,33850,
000059.SZ,000059,20251209,93004610,1123562,0,0,S,51300,500,1123561,33850,
000059.SZ,000059,20251209,93004620,1123740,0,0,S,51300,600,1123739,33850,
000059.SZ,000059,20251209,93004660,1125797,0,0,S,51300,800,1125796,33850,
000059.SZ,000059,20251209,93005500,1153727,C,0, ,0,21600,1111794,0,
000059.SZ,000059,20251209,93005850,1163083,0,0,B,51400,1000,1032910,1163082,
000059.SZ,000059,20251209,93006180,1173842,0,0,B,51400,600,1032910,1173841,
000059.SZ,000059,20251209,93006480,1182491,0,0,B,51400,100,1032910,1182490,
000059.SZ,000059,20251209,93007080,1200850,0,0,B,51400,200,1032910,1200849,
000059.SZ,000059,20251209,93007220,1203498,0,0,B,51400,100,1032910,1203497,
000059.SZ,000059,20251209,93007920,1219955,0,0,B,51400,100,1032910,1219954,
000059.SZ,000059,20251209,93008230,1226372,C,0, ,0,400,792666,0,
000059.SZ,000059,20251209,93008230,1226375,C,0, ,0,200,794748,0,
000059.SZ,000059,20251209,93008800,1234162,0,0,B,51400,700,1032910,1234161,
000059.SZ,000059,20251209,93008800,1234163,0,0,B,51400,200,1055019,1234161,
000059.SZ,000059,20251209,93008800,1234164,0,0,B,51400,200,1110054,1234161,
000059.SZ,000059,20251209,93008880,1235605,0,0,B,51400,100,1110054,1235604,
000059.SZ,000059,20251209,93009190,1240988,0,0,B,51400,200,1110054,1240987,
000059.SZ,000059,20251209,93010230,1260834,0,0,S,51300,2900,1260833,33850,
000059.SZ,000059,20251209,93010420,1265291,0,0,B,51400,100,1110054,1265290,
000059.SZ,000059,20251209,93010700,1271578,0,0,B,51400,700,1110054,1271577,
000059.SZ,000059,20251209,93010700,1271579,0,0,B,51400,500,1110270,1271577,
000059.SZ,000059,20251209,93010700,1271580,0,0,B,51400,200,1112516,1271577,
000059.SZ,000059,20251209,93010700,1271581,0,0,B,51400,200,1121552,1271577,
000059.SZ,000059,20251209,93010700,1271582,0,0,B,51400,100,1122113,1271577,
000059.SZ,000059,20251209,93010700,1271583,0,0,B,51400,400,1131102,1271577,
000059.SZ,000059,20251209,93010700,1271584,0,0,B,51400,800,1161928,1271577,
000059.SZ,000059,20251209,93010700,1271585,0,0,B,51400,100,1181561,1271577,
000059.SZ,000059,20251209,93010700,1271586,0,0,B,51400,100,1188267,1271577,
000059.SZ,000059,20251209,93010700,1271587,0,0,B,51400,200,1212575,1271577,
000059.SZ,000059,20251209,93011430,1279998,0,0,B,51400,1100,1212575,1279997,
000059.SZ,000059,20251209,93011480,1280506,0,0,B,51400,700,1212575,1280505,
000059.SZ,000059,20251209,93011480,1280507,0,0,B,51400,100,1212942,1280505,
000059.SZ,000059,20251209,93011480,1280508,0,0,B,51400,300,1213921,1280505,
000059.SZ,000059,20251209,93011550,1281463,0,0,B,51400,500,1213921,1281462,
000059.SZ,000059,20251209,93011550,1281464,0,0,B,51400,600,1214287,1281462,
000059.SZ,000059,20251209,93011680,1283003,0,0,B,51400,1000,1214287,1283002,
000059.SZ,000059,20251209,93011730,1283500,0,0,B,51400,100,1214287,1283499,
000059.SZ,000059,20251209,93011730,1283501,0,0,B,51400,1000,1214399,1283499,
000059.SZ,000059,20251209,93011750,1283704,0,0,B,51400,200,1214399,1283703,
000059.SZ,000059,20251209,93011750,1283705,0,0,B,51400,900,1214576,1283703,
000059.SZ,000059,20251209,93011750,1283706,0,0,B,51400,300,1214660,1283703,
000059.SZ,000059,20251209,93011750,1283707,0,0,B,51400,1400,1216380,1283703,
000059.SZ,000059,20251209,93011750,1283708,0,0,B,51400,200,1216701,1283703,
000059.SZ,000059,20251209,93011750,1283709,0,0,B,51400,900,1216990,1283703,
000059.SZ,000059,20251209,93011750,1283710,0,0,B,51400,1000,1217817,1283703,
000059.SZ,000059,20251209,93011750,1283711,0,0,B,51400,200,1226467,1283703,
000059.SZ,000059,20251209,93011750,1283712,0,0,B,51400,600,1242074,1283703,
000059.SZ,000059,20251209,93011750,1283713,0,0,B,51400,100,1246482,1283703,
000059.SZ,000059,20251209,93011750,1283714,0,0,B,51400,800,1247160,1283703,
000059.SZ,000059,20251209,93011780,1283979,0,0,B,51400,3000,1247160,1283978,
000059.SZ,000059,20251209,93012220,1288366,0,0,B,51400,800,1247160,1288365,
000059.SZ,000059,20251209,93012220,1288479,0,0,B,51400,100,1247160,1288478,
000059.SZ,000059,20251209,93014240,1321401,0,0,B,51400,700,1247160,1321400,
000059.SZ,000059,20251209,93014310,1322184,0,0,B,51400,700,1247160,1322183,
000059.SZ,000059,20251209,93014810,1328022,0,0,B,51400,300,1247160,1328021,
000059.SZ,000059,20251209,93014810,1328023,0,0,B,51400,100,1288452,1328021,
000059.SZ,000059,20251209,93014810,1328024,0,0,B,51400,100,1288473,1328021,
000059.SZ,000059,20251209,93015250,1332889,0,0,B,51400,100,1290973,1332888,
000059.SZ,000059,20251209,93015250,1332890,0,0,B,51400,600,1302834,1332888,
000059.SZ,000059,20251209,93015250,1332891,0,0,B,51400,300,1315372,1332888,
000059.SZ,000059,20251209,93015250,1332892,0,0,B,51400,100,1321912,1332888,
000059.SZ,000059,20251209,93015250,1332893,0,0,B,51400,100,1326912,1332888,
000059.SZ,000059,20251209,93021220,1424376,0,0,B,51400,100,1330589,1424375,
000059.SZ,000059,20251209,93021260,1426135,0,0,B,51400,100,1331721,1426134,
000059.SZ,000059,20251209,93021260,1426136,0,0,B,51400,100,1332886,1426134,
000059.SZ,000059,20251209,93022460,1448106,0,0,S,51300,3000,1448105,33850,
000059.SZ,000059,20251209,93024170,1468060,0,0,B,51400,200,1332886,1468059,
000059.SZ,000059,20251209,93024650,1477061,0,0,B,51400,100,1332886,1477060,
000059.SZ,000059,20251209,93024970,1482236,0,0,B,51400,100,1332886,1482235,
000059.SZ,000059,20251209,93025050,1483724,0,0,B,51400,100,1332886,1483723,
000059.SZ,000059,20251209,93025080,1484008,0,0,B,51400,1200,1332886,1484007,
000059.SZ,000059,20251209,93025080,1484009,0,0,B,51400,100,1332887,1484007,
000059.SZ,000059,20251209,93025080,1484010,0,0,B,51400,100,1343975,1484007,
000059.SZ,000059,20251209,93025080,1484011,0,0,B,51400,100,1345970,1484007,
000059.SZ,000059,20251209,93025080,1484012,0,0,B,51400,100,1350567,1484007,
000059.SZ,000059,20251209,93025080,1484013,0,0,B,51400,100,1386904,1484007,
000059.SZ,000059,20251209,93025080,1484014,0,0,B,51400,500,1393755,1484007,
000059.SZ,000059,20251209,93025080,1484015,0,0,B,51400,2800,1395137,1484007,
000059.SZ,000059,20251209,93025140,1484878,0,0,S,51300,2400,1484877,33850,
000059.SZ,000059,20251209,93027170,1510090,0,0,B,51400,400,1395137,1510089,
000059.SZ,000059,20251209,93028490,1531224,0,0,S,51300,700,1531223,33850,
000059.SZ,000059,20251209,93030650,1564632,0,0,B,51400,5600,1395137,1564631,
000059.SZ,000059,20251209,93030650,1564633,0,0,B,51400,100,1402570,1564631,
000059.SZ,000059,20251209,93030650,1564634,0,0,B,51400,100,1402682,1564631,
000059.SZ,000059,20251209,93030650,1564635,0,0,B,51400,100,1402683,1564631,
000059.SZ,000059,20251209,93030650,1564636,0,0,B,51400,100,1405016,1564631,
000059.SZ,000059,20251209,93030650,1564637,0,0,B,51400,1100,1413425,1564631,
000059.SZ,000059,20251209,93030650,1564638,0,0,B,51400,600,1424275,1564631,
000059.SZ,000059,20251209,93030650,1564639,0,0,B,51400,200,1457742,1564631,
000059.SZ,000059,20251209,93030650,1564640,0,0,B,51400,400,1467371,1564631,
000059.SZ,000059,20251209,93030650,1564641,0,0,B,51400,2100,1467802,1564631,
000059.SZ,000059,20251209,93030650,1564642,0,0,B,51400,2400,1467806,1564631,
000059.SZ,000059,20251209,93030650,1564643,0,0,B,51400,200,1473334,1564631,
000059.SZ,000059,20251209,93030650,1564644,0,0,B,51400,3300,1508566,1564631,
000059.SZ,000059,20251209,93033180,1598669,0,0,B,51400,400,1508566,1598668,
000059.SZ,000059,20251209,93033180,1598670,0,0,B,51400,100,1567828,1598668,
000059.SZ,000059,20251209,93033180,1598671,0,0,B,51400,400,1596452,1598668,
000059.SZ,000059,20251209,93033290,1601992,0,0,B,51400,100,1596452,1601991,
000059.SZ,000059,20251209,93035590,1637835,C,0, ,0,1100,1192329,0,
000059.SZ,000059,20251209,93037480,1672338,0,0,B,51400,500,1598099,1672337,
000059.SZ,000059,20251209,93037480,1672339,0,0,B,51400,500,1609482,1672337,
000059.SZ,000059,20251209,93039150,1695940,0,0,S,51300,100,1695939,33850,
000059.SZ,000059,20251209,93045000,1802460,0,0,B,51400,100,1609482,1802459,
000059.SZ,000059,20251209,93045160,1805330,0,0,S,51300,700,1805329,33850,
000059.SZ,000059,20251209,93045160,1805338,0,0,S,51300,1200,1805337,33850,
000059.SZ,000059,20251209,93045160,1805340,0,0,S,51300,100,1805339,33850,
000059.SZ,000059,20251209,93045160,1805342,0,0,S,51300,200,1805341,33850,
