万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号,
000004.SZ,000004,20251209,91508700,282504,C,0, ,0,36700,267,0,
000004.SZ,000004,20251209,91900030,354572,C,0, ,0,7800,125878,0,
000004.SZ,000004,20251209,92500000,553496,0,0,B,113500,200,475082,536134,
000004.SZ,000004,20251209,92500000,553497,0,0,B,113500,100,481701,536134,
000004.SZ,000004,20251209,92500000,553498,0,0,B,113500,100,165305,536134,
000004.SZ,000004,20251209,92500000,553499,0,0,S,113500,2900,540738,536134,
000004.SZ,000004,20251209,92500000,553500,0,0,S,113500,700,540738,42960,
000004.SZ,000004,20251209,92500000,553501,0,0,S,113500,2400,538665,42960,
000004.SZ,000004,20251209,92500000,553502,0,0,S,113500,300,353051,42960,
000004.SZ,000004,20251209,92500000,553503,0,0,S,113500,2900,137509,42960,
000004.SZ,000004,20251209,92500000,553504,0,0,S,113500,900,192522,42960,
000004.SZ,000004,20251209,92500000,553505,0,0,S,113500,1700,529406,42960,
000004.SZ,000004,20251209,92500000,553506,0,0,S,113500,1100,529406,486724,
000004.SZ,000004,20251209,93000090,678504,C,0, ,0,4600,512126,0,
000004.SZ,000004,20251209,93000130,700059,C,0, ,0,2000,0,425689,
000004.SZ,000004,20251209,93000200,736015,C,0, ,0,5000,513112,0,
000004.SZ,000004,20251209,93000770,852410,0,0,S,113000,100,852409,145565,
000004.SZ,000004,20251209,93000770,852411,0,0,S,113000,200,852409,691489,
000004.SZ,000004,20251209,93001500,936055,C,0, ,0,8400,647604,0,
000004.SZ,000004,20251209,93001810,964391,C,0, ,0,3000,361147,0,
000004.SZ,000004,20251209,93001850,967460,0,0,B,112900,200,852409,967459,
000004.SZ,000004,20251209,93001850,967461,0,0,B,113000,400,890935,967459,
000004.SZ,000004,20251209,93001850,967467,0,0,B,113000,400,890935,967466,
000004.SZ,000004,20251209,93002050,987435,C,0, ,0,2000,511184,0,
000004.SZ,000004,20251209,93002140,993596,C,0, ,0,200,468706,0,
000004.SZ,000004,20251209,93005080,1143726,0,0,B,113000,6500,890935,1143725,
000004.SZ,000004,20251209,93006110,1172024,0,0,B,113400,1000,927210,1172023,
000004.SZ,000004,20251209,93007740,1216712,C,0, ,0,4400,927210,0,
000004.SZ,000004,20251209,93012220,1288389,0,0,S,113400,300,1288388,1284859,
000004.SZ,000004,20251209,93012220,1288422,0,0,S,113400,1000,1288421,1284859,
000004.SZ,000004,20251209,93012260,1289425,0,0,S,113400,1200,1289424,1284859,
000004.SZ,000004,20251209,93016710,1363536,C,0, ,0,400,0,1193638,
000004.SZ,000004,20251209,93017200,1369378,C,0, ,0,500,0,287723,
000004.SZ,000004,20251209,93018220,1380700,C,0, ,0,1300,1289424,0,
000004.SZ,000004,20251209,93019360,1400220,0,0,B,113500,400,529406,1400219,
000004.SZ,000004,20251209,93019980,1409808,C,0, ,0,3400,529406,0,
000004.SZ,000004,20251209,93022580,1449710,C,0, ,0,1000,0,291658,
000004.SZ,000004,20251209,93024700,1478277,C,0, ,0,1500,1440085,0,
000004.SZ,000004,20251209,93025100,1484348,0,0,B,113300,400,1478291,1484347,
000004.SZ,000004,20251209,93025930,1497068,0,0,S,113000,100,1497067,1143725,
000004.SZ,000004,20251209,93027650,1519033,0,0,S,113000,3400,1519032,1143725,
000004.SZ,000004,20251209,93027710,1519725,C,0, ,0,2100,1478291,0,
000004.SZ,000004,20251209,93028450,1530569,C,0, ,0,1500,1481193,0,
000004.SZ,000004,20251209,93029130,1540550,C,0, ,0,500,0,1484349,
000004.SZ,000004,20251209,93029650,1547469,0,0,B,113400,100,1480847,1547468,
000004.SZ,000004,20251209,93029650,1547470,0,0,B,113400,200,1480848,1547468,
000004.SZ,000004,20251209,93029650,1547471,0,0,B,113400,100,1480849,1547468,
000004.SZ,000004,20251209,93034950,1629070,C,0, ,0,1500,1611628,0,
000004.SZ,000004,20251209,93036750,1658022,0,0,S,113000,5300,1658021,1377429,
000004.SZ,000004,20251209,93037130,1664861,C,0, ,0,10000,0,879685,
000004.SZ,000004,20251209,93038180,1682311,C,0, ,0,1500,1629464,0,
000004.SZ,000004,20251209,93041490,1738674,0,0,B,113000,400,1658021,1738673,
000004.SZ,000004,20251209,93042530,1758695,C,0, ,0,5300,545715,0,
000004.SZ,000004,20251209,93045530,1811839,0,0,B,113000,600,1658021,1811838,
000004.SZ,000004,20251209,93045530,1811843,0,0,B,113000,600,1658021,1811842,
000004.SZ,000004,20251209,93050250,1880038,C,0, ,0,2400,1815356,0,
000004.SZ,000004,20251209,93054310,1933504,C,0, ,0,4200,1695924,0,
000004.SZ,000004,20251209,93056640,1965108,0,0,B,113000,1200,1658021,1965107,
000004.SZ,000004,20251209,93058930,1997378,0,0,S,112900,2400,1997377,1538415,
000004.SZ,000004,20251209,93100800,2027220,C,0, ,0,600,0,1965113,
000004.SZ,000004,20251209,93105640,2107813,0,0,B,113000,400,1658021,2107812,
000004.SZ,000004,20251209,93105720,2108905,0,0,B,113000,1400,1658021,2108904,
000004.SZ,000004,20251209,93105720,2108906,0,0,B,113000,600,1689951,2108904,
000004.SZ,000004,20251209,93106010,2113076,0,0,S,112900,2400,2113075,1538415,
000004.SZ,000004,20251209,93106210,2116106,0,0,B,112900,200,2113075,2116105,
000004.SZ,000004,20251209,93106210,2116109,0,0,B,112900,200,2113075,2116108,
000004.SZ,000004,20251209,93107160,2133964,0,0,B,112900,700,2113075,2133963,
000004.SZ,000004,20251209,93107220,2134838,0,0,B,112900,800,2113075,2134837,
000004.SZ,000004,20251209,93110230,2180279,0,0,B,112900,100,2113075,2180278,
000004.SZ,000004,20251209,93111060,2192191,C,0, ,0,400,0,2144533,
000004.SZ,000004,20251209,93115050,2244735,0,0,B,112900,400,2113075,2244734,
000004.SZ,000004,20251209,93115260,2247122,0,0,B,112900,1800,2113075,2247121,
000004.SZ,000004,20251209,93115410,2249715,C,0, ,0,200,0,2202569,
000004.SZ,000004,20251209,93115480,2250660,0,0,B,112900,3400,2113075,2250659,
000004.SZ,000004,20251209,93117340,2275755,0,0,B,113000,400,1689951,2275754,
000004.SZ,000004,20251209,93117350,2275981,0,0,B,113000,300,1689951,2275980,
