万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
600060.SH,600060,20251209,91400500,0,0,S,I,0,0,
600060.SH,600060,20251209,91501420,0,4672,A,S,270000,200,
600060.SH,600060,20251209,91501720,0,7327,A,S,247000,2800,
600060.SH,600060,20251209,91501720,0,7557,A,S,280100,400,
600060.SH,600060,20251209,91501760,0,8063,A,S,259000,100,
600060.SH,600060,20251209,91501850,0,10247,A,S,258400,2000,
600060.SH,600060,20251209,91501850,0,10249,A,S,262300,2000,
600060.SH,600060,20251209,91501850,0,10250,A,B,252100,2500,
600060.SH,600060,20251209,91501960,0,12026,A,B,246000,1000,
600060.SH,600060,20251209,91501960,0,12474,A,S,269900,200,
600060.SH,600060,20251209,91502490,0,17911,A,S,260800,2000,
600060.SH,600060,20251209,91502620,0,18543,A,S,261000,1000,
600060.SH,600060,20251209,91502620,0,19010,A,S,269900,600,
600060.SH,600060,20251209,91502620,0,19133,A,S,259600,1000,
600060.SH,600060,20251209,91502730,0,20801,A,S,262000,2100,
600060.SH,600060,20251209,91502860,0,23809,A,B,245200,5000,
600060.SH,600060,20251209,91502860,0,23927,A,B,248000,200,
600060.SH,600060,20251209,91502860,0,23997,A,S,255400,800,
600060.SH,600060,20251209,91503020,0,24681,A,S,266800,1000,
600060.SH,600060,20251209,91503020,0,24789,A,S,269900,200,
600060.SH,600060,20251209,91503020,0,25536,A,B,250000,600,
600060.SH,600060,20251209,91503020,0,25581,A,B,250000,200,
600060.SH,600060,20251209,91503160,0,27612,A,B,250000,1500,
600060.SH,600060,20251209,91503160,0,27650,A,S,257200,100,
600060.SH,600060,20251209,91503160,0,27926,A,S,266800,100,
600060.SH,600060,20251209,91503280,0,30242,A,S,272700,100,
600060.SH,600060,20251209,91503420,0,31487,A,S,269600,1200,
600060.SH,600060,20251209,91503420,0,31541,A,S,280100,2000,
600060.SH,600060,20251209,91503420,0,31590,A,S,275000,1300,
600060.SH,600060,20251209,91503420,0,31872,A,B,253700,100,
600060.SH,600060,20251209,91503420,0,31898,A,B,251100,100,
600060.SH,600060,20251209,91503420,0,31958,A,S,269600,100,
600060.SH,600060,20251209,91503730,0,35299,A,S,278700,100,
600060.SH,600060,20251209,91504000,0,38915,A,B,252500,300,
600060.SH,600060,20251209,91504310,0,43682,A,S,259000,600,
600060.SH,600060,20251209,91504460,0,44968,A,S,267500,1000,
600060.SH,600060,20251209,91504460,0,45854,A,B,251000,200,
600060.SH,600060,20251209,91504460,0,45856,A,S,280000,200,
600060.SH,600060,20251209,91504900,0,52207,A,B,229500,200,
600060.SH,600060,20251209,91504900,0,52539,A,S,273000,400,
600060.SH,600060,20251209,91504900,0,52540,A,B,250000,400,
600060.SH,600060,20251209,91504900,0,52541,A,B,243000,400,
600060.SH,600060,20251209,91505050,0,52977,A,S,259300,100,
600060.SH,600060,20251209,91505190,0,55815,A,S,278600,1200,
600060.SH,600060,20251209,91505570,0,60323,A,B,245000,1000,
600060.SH,600060,20251209,91505570,0,60401,A,S,260000,1300,
600060.SH,600060,20251209,91505710,0,62514,A,S,268700,300,
600060.SH,600060,20251209,91505710,0,62633,A,S,259900,4200,
600060.SH,600060,20251209,91505710,0,62636,A,S,259900,3400,
600060.SH,600060,20251209,91505860,0,64844,A,S,280100,100,
600060.SH,600060,20251209,91505860,0,65810,A,B,250300,1000,
600060.SH,600060,20251209,91505990,0,65998,A,S,262900,100,
600060.SH,600060,20251209,91505990,0,67005,A,B,250100,1000,
600060.SH,600060,20251209,91506130,0,68021,A,S,272300,1000,
600060.SH,600060,20251209,91506260,0,71073,A,B,250800,4400,
600060.SH,600060,20251209,91506420,0,73292,A,S,280000,1500,
600060.SH,600060,20251209,91506420,0,73295,A,S,275000,500,
600060.SH,600060,20251209,91506720,0,75962,A,S,259900,2800,
600060.SH,600060,20251209,91506720,0,77181,A,B,249000,300,
600060.SH,600060,20251209,91506720,0,77203,A,S,264200,400,
600060.SH,600060,20251209,91507150,0,82836,A,S,268700,200,
600060.SH,600060,20251209,91507150,0,82857,A,S,272600,200,
600060.SH,600060,20251209,91507150,0,82866,A,S,276600,200,
600060.SH,600060,20251209,91507150,0,83470,A,S,259500,1500,
600060.SH,600060,20251209,91507300,0,84804,A,B,250000,200,
600060.SH,600060,20251209,91507450,0,85853,A,S,261000,500,
600060.SH,600060,20251209,91507600,0,87661,A,S,264000,400,
600060.SH,600060,20251209,91507600,0,88241,A,S,260000,200,
600060.SH,600060,20251209,91507600,0,88921,A,S,258600,100,
600060.SH,600060,20251209,91507860,0,91437,A,S,259300,100,
600060.SH,600060,20251209,91507860,0,91639,A,S,280100,3000,
600060.SH,600060,20251209,91508020,0,94216,A,S,257000,500,
600060.SH,600060,20251209,91508020,0,94219,A,S,257100,500,
600060.SH,600060,20251209,91508020,0,94803,A,S,257200,500,
600060.SH,600060,20251209,91508020,0,94804,A,S,257300,500,
600060.SH,600060,20251209,91508020,0,94806,A,S,257400,500,
600060.SH,600060,20251209,91508020,0,94807,A,S,257500,500,
600060.SH,600060,20251209,91508020,0,94810,A,S,257600,500,
600060.SH,600060,20251209,91508020,0,94814,A,S,257700,500,
600060.SH,600060,20251209,91508020,0,94822,A,S,257800,500,
600060.SH,600060,20251209,91508020,0,94824,A,S,257900,500,
600060.SH,600060,20251209,91508020,0,94825,A,S,258000,500,
600060.SH,600060,20251209,91508020,0,94827,A,S,258100,500,
600060.SH,600060,20251209,91508020,0,94829,A,S,258200,500,
600060.SH,600060,20251209,91508020,0,94830,A,S,258300,500,
600060.SH,600060,20251209,91508020,0,94878,A,S,258400,500,
600060.SH,600060,20251209,91508020,0,94880,A,S,258500,500,
600060.SH,600060,20251209,91508020,0,94885,A,S,258600,500,
600060.SH,600060,20251209,91508020,0,94889,A,S,258700,500,
600060.SH,600060,20251209,91508020,0,94891,A,S,258800,500,
600060.SH,600060,20251209,91508020,0,94892,A,S,258900,500,
600060.SH,600060,20251209,91508020,0,94906,A,S,259000,500,
600060.SH,600060,20251209,91508020,0,94907,A,S,259100,500,
600060.SH,600060,20251209,91508020,0,94911,A,S,259200,500,
600060.SH,600060,20251209,91508020,0,94912,A,S,259300,500,
600060.SH,600060,20251209,91508020,0,94913,A,S,259400,500,
600060.SH,600060,20251209,91508020,0,94914,A,S,259500,500,
600060.SH,600060,20251209,91508020,0,94915,A,S,259600,500,
600060.SH,600060,20251209,91508180,0,95305,A,S,259700,500,
600060.SH,600060,20251209,91508180,0,95306,A,S,259800,500,
600060.SH,600060,20251209,91508180,0,95307,A,S,259900,500,
600060.SH,600060,20251209,91508180,0,95308,A,S,260000,500,
600060.SH,600060,20251209,91508180,0,95309,A,S,260100,500,
600060.SH,600060,20251209,91508180,0,95310,A,S,260200,500,
600060.SH,600060,20251209,91508180,0,95320,A,S,260300,500,
600060.SH,600060,20251209,91508180,0,95321,A,S,260400,500,
600060.SH,600060,20251209,91508180,0,95322,A,S,260500,500,
600060.SH,600060,20251209,91508180,0,95323,A,S,260600,500,
600060.SH,600060,20251209,91508180,0,95324,A,S,260700,500,
600060.SH,600060,20251209,91508180,0,95325,A,S,260800,500,
600060.SH,600060,20251209,91508180,0,95326,A,S,260900,500,
600060.SH,600060,20251209,91508180,0,95327,A,S,261000,500,
600060.SH,600060,20251209,91508180,0,95328,A,S,261100,500,
600060.SH,600060,20251209,91508180,0,95338,A,S,261200,500,
600060.SH,600060,20251209,91508180,0,95339,A,S,261300,500,
600060.SH,600060,20251209,91508180,0,95343,A,S,261400,500,
600060.SH,600060,20251209,91508180,0,95344,A,S,261500,500,
600060.SH,600060,20251209,91508180,0,95345,A,S,261600,500,
600060.SH,600060,20251209,91508180,0,95346,A,S,261700,500,
600060.SH,600060,20251209,91508180,0,95347,A,S,261800,500,
600060.SH,600060,20251209,91508180,0,95348,A,S,261900,500,
600060.SH,600060,20251209,91508180,0,95349,A,S,262000,500,
600060.SH,600060,20251209,91508180,0,95357,A,S,262100,500,
600060.SH,600060,20251209,91508180,0,95358,A,S,262200,500,
600060.SH,600060,20251209,91508180,0,95359,A,S,262300,500,
600060.SH,600060,20251209,91508180,0,95360,A,S,262400,500,
600060.SH,600060,20251209,91508180,0,95361,A,S,262500,500,
600060.SH,600060,20251209,91508180,0,95362,A,S,262600,500,
600060.SH,600060,20251209,91508180,0,95363,A,S,262700,500,
600060.SH,600060,20251209,91508180,0,95364,A,S,262800,500,
600060.SH,600060,20251209,91508180,0,95365,A,S,262900,500,
600060.SH,600060,20251209,91508180,0,95384,A,S,263000,500,
600060.SH,600060,20251209,91508180,0,95385,A,S,263100,500,
600060.SH,600060,20251209,91508180,0,95386,A,S,263200,500,
600060.SH,600060,20251209,91508180,0,95390,A,S,263300,500,
600060.SH,600060,20251209,91508180,0,95391,A,S,263400,500,
600060.SH,600060,20251209,91508180,0,95392,A,S,263500,500,
600060.SH,600060,20251209,91508180,0,95395,A,S,263600,500,
600060.SH,600060,20251209,91508180,0,95396,A,S,263700,500,
600060.SH,600060,20251209,91508180,0,95397,A,S,263800,500,
600060.SH,600060,20251209,91508180,0,95398,A,S,263900,500,
600060.SH,600060,20251209,91508180,0,95399,A,S,264000,500,
600060.SH,600060,20251209,91508180,0,95400,A,S,264100,500,
600060.SH,600060,20251209,91508180,0,95401,A,S,264200,500,
600060.SH,600060,20251209,91508180,0,95402,A,S,264300,500,
600060.SH,600060,20251209,91508180,0,95404,A,S,264400,500,
600060.SH,600060,20251209,91508180,0,95405,A,S,264500,500,
600060.SH,600060,20251209,91508180,0,95406,A,S,264600,500,
600060.SH,600060,20251209,91508180,0,95420,A,S,264700,500,
600060.SH,600060,20251209,91508180,0,95421,A,S,264800,500,
600060.SH,600060,20251209,91508180,0,95423,A,S,264900,500,
600060.SH,600060,20251209,91508180,0,95424,A,S,265000,500,
600060.SH,600060,20251209,91508180,0,95425,A,S,265100,500,
600060.SH,600060,20251209,91508180,0,95426,A,S,265200,500,
600060.SH,600060,20251209,91508180,0,95427,A,S,265300,500,
600060.SH,600060,20251209,91508180,0,95439,A,S,265400,500,
600060.SH,600060,20251209,91508180,0,95440,A,S,265500,500,
600060.SH,600060,20251209,91508180,0,95441,A,S,265600,500,
600060.SH,600060,20251209,91508180,0,95442,A,S,265700,500,
600060.SH,600060,20251209,91508180,0,95443,A,S,265800,500,
600060.SH,600060,20251209,91508180,0,95444,A,S,265900,500,
600060.SH,600060,20251209,91508180,0,95445,A,S,266000,500,
600060.SH,600060,20251209,91508180,0,95446,A,S,266100,500,
600060.SH,600060,20251209,91508180,0,95680,A,S,266200,500,
600060.SH,600060,20251209,91508180,0,95682,A,S,266300,500,
600060.SH,600060,20251209,91508180,0,95686,A,S,266400,500,
600060.SH,600060,20251209,91508180,0,95687,A,S,266500,500,
600060.SH,600060,20251209,91508180,0,95688,A,S,266600,500,
600060.SH,600060,20251209,91508180,0,95689,A,S,266700,500,
600060.SH,600060,20251209,91508180,0,95690,A,S,266800,500,
600060.SH,600060,20251209,91508180,0,95691,A,S,266900,500,
600060.SH,600060,20251209,91508180,0,95703,A,S,267000,500,
600060.SH,600060,20251209,91508180,0,95704,A,S,267100,500,
600060.SH,600060,20251209,91508180,0,95705,A,S,267200,500,
600060.SH,600060,20251209,91508180,0,95706,A,S,267300,500,
600060.SH,600060,20251209,91508180,0,95715,A,S,267400,500,
600060.SH,600060,20251209,91508180,0,95716,A,S,267500,500,
600060.SH,600060,20251209,91508180,0,95717,A,S,267600,500,
600060.SH,600060,20251209,91508180,0,95718,A,S,267700,500,
600060.SH,600060,20251209,91508180,0,95719,A,S,267800,500,
600060.SH,600060,20251209,91508180,0,95720,A,S,267900,500,
600060.SH,600060,20251209,91508180,0,95721,A,S,268000,500,
600060.SH,600060,20251209,91508180,0,95723,A,S,268100,500,
600060.SH,600060,20251209,91508650,0,101906,A,S,280100,1000,
600060.SH,600060,20251209,91508820,0,103409,A,B,243800,500,
600060.SH,600060,20251209,91508980,0,105851,A,S,260800,200,
600060.SH,600060,20251209,91509270,0,109273,A,B,248800,400,
600060.SH,600060,20251209,91509270,0,109470,A,S,258800,200,
600060.SH,600060,20251209,91509270,0,109693,A,S,259200,500,
600060.SH,600060,20251209,91509270,0,109702,A,S,280000,500,
600060.SH,600060,20251209,91509270,0,110319,A,S,266400,700,
600060.SH,600060,20251209,91509430,0,112393,A,S,260000,200,
600060.SH,600060,20251209,91509650,0,113778,A,S,280000,200,
600060.SH,600060,20251209,91509810,0,115246,A,S,268200,500,
600060.SH,600060,20251209,91509810,0,115252,A,S,268300,500,
600060.SH,600060,20251209,91509810,0,115510,A,S,268400,500,
600060.SH,600060,20251209,91509810,0,115574,A,S,268500,500,
600060.SH,600060,20251209,91509810,0,115575,A,S,268600,500,
600060.SH,600060,20251209,91509970,0,118557,A,S,280000,800,
600060.SH,600060,20251209,91509970,0,118694,A,S,268700,500,
600060.SH,600060,20251209,91509970,0,118696,A,S,268800,500,
600060.SH,600060,20251209,91510350,0,122780,A,S,280000,4100,
600060.SH,600060,20251209,91510670,0,125667,A,S,260000,1200,
600060.SH,600060,20251209,91510670,0,126391,A,S,275000,200,
600060.SH,600060,20251209,91511010,0,129204,A,B,267300,200,
600060.SH,600060,20251209,91511010,0,130515,A,S,280000,200,
600060.SH,600060,20251209,91511170,0,131650,A,S,275800,500,
600060.SH,600060,20251209,91511240,0,133002,A,S,255800,100,
600060.SH,600060,20251209,91511240,0,133702,A,B,251800,500,
600060.SH,600060,20251209,91511410,0,135162,A,S,280000,200,
600060.SH,600060,20251209,91511570,0,136032,A,B,230600,900,
600060.SH,600060,20251209,91511570,0,136033,A,B,229200,900,
600060.SH,600060,20251209,91511570,0,136357,A,S,268000,1000,
600060.SH,600060,20251209,91511740,0,138780,A,S,280100,100,
600060.SH,600060,20251209,91511910,0,140137,A,B,251500,300,
600060.SH,600060,20251209,91511910,0,140139,A,B,249300,300,
600060.SH,600060,20251209,91512080,0,142119,A,S,266000,500,
600060.SH,600060,20251209,91512080,0,142236,A,S,268900,500,
600060.SH,600060,20251209,91512080,0,142240,A,S,269000,500,
600060.SH,600060,20251209,91512080,0,142241,A,S,269100,500,
600060.SH,600060,20251209,91512080,0,142242,A,S,269200,500,
600060.SH,600060,20251209,91512080,0,142243,A,S,269300,500,
600060.SH,600060,20251209,91512080,0,142244,A,S,269400,500,
600060.SH,600060,20251209,91512080,0,142245,A,S,269500,500,
600060.SH,600060,20251209,91512080,0,142246,A,S,269600,500,
600060.SH,600060,20251209,91512080,0,142247,A,S,269700,500,
600060.SH,600060,20251209,91512080,0,142248,A,S,269800,500,
600060.SH,600060,20251209,91512080,0,142249,A,S,269900,500,
600060.SH,600060,20251209,91512080,0,142250,A,S,270000,500,
