万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号,
000045.SZ,000045,20251209,91553850,335188,C,0, ,0,1000,0,330652,
000045.SZ,000045,20251209,91612100,341234,C,0, ,0,4200,160400,0,
000045.SZ,000045,20251209,91632030,347473,C,0, ,0,3100,166528,0,
000045.SZ,000045,20251209,91632690,347683,C,0, ,0,12500,331186,0,
000045.SZ,000045,20251209,91636220,348712,C,0, ,0,12500,341096,0,
000045.SZ,000045,20251209,91653540,354261,C,0, ,0,6600,0,351794,
000045.SZ,000045,20251209,91718150,362652,C,0, ,0,6600,0,360833,
000045.SZ,000045,20251209,91803780,379402,C,0, ,0,5900,0,377071,
000045.SZ,000045,20251209,91823870,386991,C,0, ,0,6200,0,383904,
000045.SZ,000045,20251209,91846850,395831,C,0, ,0,25000,393240,0,
000045.SZ,000045,20251209,91921200,409924,C,0, ,0,1300,0,132708,
000045.SZ,000045,20251209,92500000,599194,0,0,S,123200,100,579855,24130,
000045.SZ,000045,20251209,92500000,599195,0,0,S,123200,100,579855,320802,
000045.SZ,000045,20251209,92500000,599196,0,0,S,123200,100,579855,258612,
000045.SZ,000045,20251209,92500000,599197,0,0,S,123200,300,579855,175896,
000045.SZ,000045,20251209,92500000,599198,0,0,S,123200,200,580238,175896,
000045.SZ,000045,20251209,92500000,599199,0,0,S,123200,700,580238,564708,
000045.SZ,000045,20251209,92500000,599200,0,0,S,123200,300,597005,564708,
000045.SZ,000045,20251209,92500000,599201,0,0,S,123200,100,596706,564708,
000045.SZ,000045,20251209,92500000,599202,0,0,S,123200,200,596706,510284,
000045.SZ,000045,20251209,92500000,599203,0,0,S,123200,2600,596706,160802,
000045.SZ,000045,20251209,92500000,599204,0,0,S,123200,800,591501,160802,
000045.SZ,000045,20251209,92500000,599205,0,0,S,123200,600,593485,160802,
000045.SZ,000045,20251209,92500000,599206,0,0,S,123200,1100,595902,160802,
000045.SZ,000045,20251209,93000040,694726,0,0,S,123200,100,694725,160802,
000045.SZ,000045,20251209,93000060,703663,0,0,S,123200,100,703662,160802,
000045.SZ,000045,20251209,93000060,705499,0,0,S,123200,2600,705498,160802,
000045.SZ,000045,20251209,93000140,750128,0,0,B,123300,500,201013,750127,
000045.SZ,000045,20251209,93000150,756402,0,0,S,123200,100,756401,160802,
000045.SZ,000045,20251209,93000180,775187,0,0,B,123300,1500,201013,775186,
000045.SZ,000045,20251209,93000180,775188,0,0,B,123300,100,243911,775186,
000045.SZ,000045,20251209,93000180,775189,0,0,B,123300,800,516850,775186,
000045.SZ,000045,20251209,93000230,792329,C,0, ,0,4100,151008,0,
000045.SZ,000045,20251209,93000340,828323,0,0,S,123200,5000,828322,160802,
000045.SZ,000045,20251209,93000350,831096,0,0,S,123200,100,831095,160802,
000045.SZ,000045,20251209,93000350,831398,0,0,S,123200,3100,831397,160802,
000045.SZ,000045,20251209,93000350,831422,0,0,S,123200,300,831421,160802,
000045.SZ,000045,20251209,93000350,831434,0,0,S,123200,100,831433,160802,
000045.SZ,000045,20251209,93000350,831576,0,0,S,123200,4200,831575,160802,
000045.SZ,000045,20251209,93000350,831608,0,0,S,123200,1800,831607,160802,
000045.SZ,000045,20251209,93000350,831694,0,0,S,123200,100,831693,160802,
