万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号,
000032.SZ,000032,20251209,91500520,95636,C,0, ,0,3200,0,69575,
000032.SZ,000032,20251209,91500520,95637,C,0, ,0,3000,0,69574,
000032.SZ,000032,20251209,91500520,95638,C,0, ,0,2800,0,69573,
000032.SZ,000032,20251209,91501630,173211,C,0, ,0,3400,0,112213,
000032.SZ,000032,20251209,91501630,173212,C,0, ,0,3100,0,112212,
000032.SZ,000032,20251209,91501630,173213,C,0, ,0,2900,0,112211,
000032.SZ,000032,20251209,91501630,173214,C,0, ,0,2700,0,112210,
000032.SZ,000032,20251209,91526070,287543,C,0, ,0,4000,286248,0,
000032.SZ,000032,20251209,91534700,289518,C,0, ,0,4200,0,288667,
000032.SZ,000032,20251209,91537950,290327,C,0, ,0,7400,179453,0,
000032.SZ,000032,20251209,91606490,299044,C,0, ,0,100,0,298326,
000032.SZ,000032,20251209,91606490,299045,C,0, ,0,100,0,298324,
000032.SZ,000032,20251209,91606490,299046,C,0, ,0,100,0,298325,
000032.SZ,000032,20251209,91606490,299047,C,0, ,0,100,0,298327,
000032.SZ,000032,20251209,91626050,304572,C,0, ,0,200,0,292330,
000032.SZ,000032,20251209,91659330,314084,C,0, ,0,2600,0,69571,
000032.SZ,000032,20251209,91701810,314838,C,0, ,0,2500,0,112208,
000032.SZ,000032,20251209,91711870,317759,C,0, ,0,2400,0,112207,
000032.SZ,000032,20251209,91727130,322326,C,0, ,0,800,0,319146,
000032.SZ,000032,20251209,91729500,323006,C,0, ,0,300,0,310586,
000032.SZ,000032,20251209,91742690,327030,C,0, ,0,26700,0,323821,
000032.SZ,000032,20251209,91748540,328870,C,0, ,0,800,0,326099,
000032.SZ,000032,20251209,91754350,330693,C,0, ,0,300,292831,0,
000032.SZ,000032,20251209,91755470,331075,C,0, ,0,9000,315033,0,
000032.SZ,000032,20251209,91821220,339631,C,0, ,0,800,0,334345,
000032.SZ,000032,20251209,91822290,339993,C,0, ,0,300,0,229752,
000032.SZ,000032,20251209,91825590,341110,C,0, ,0,1000,329572,0,
000032.SZ,000032,20251209,91828200,342004,C,0, ,0,100,0,338045,
000032.SZ,000032,20251209,91828490,342120,C,0, ,0,300,338682,0,
000032.SZ,000032,20251209,91836030,344710,C,0, ,0,200,0,305716,
000032.SZ,000032,20251209,91836140,344753,C,0, ,0,1000,0,336961,
000032.SZ,000032,20251209,91838400,345557,C,0, ,0,3000,38828,0,
000032.SZ,000032,20251209,91838490,345597,C,0, ,0,500,0,339749,
000032.SZ,000032,20251209,91841590,346673,C,0, ,0,500,0,322186,
000032.SZ,000032,20251209,91841660,346704,C,0, ,0,2000,0,321417,
000032.SZ,000032,20251209,91842000,346848,C,0, ,0,5000,0,302419,
000032.SZ,000032,20251209,91842920,347161,C,0, ,0,1200,0,329753,
000032.SZ,000032,20251209,91843340,347332,C,0, ,0,100,0,346034,
000032.SZ,000032,20251209,91845120,348001,C,0, ,0,300,0,335732,
000032.SZ,000032,20251209,91851860,350441,C,0, ,0,6000,0,316930,
000032.SZ,000032,20251209,91854120,351439,C,0, ,0,1500,0,199958,
000032.SZ,000032,20251209,91900550,353867,C,0, ,0,100,0,346502,
000032.SZ,000032,20251209,91901500,354226,C,0, ,0,500,0,346660,
000032.SZ,000032,20251209,91905890,355926,C,0, ,0,5500,346358,0,
000032.SZ,000032,20251209,91909880,357557,C,0, ,0,200,0,346099,
000032.SZ,000032,20251209,91912060,358395,C,0, ,0,300,0,350294,
000032.SZ,000032,20251209,91913430,358894,C,0, ,0,700,348556,0,
000032.SZ,000032,20251209,91918390,360773,C,0, ,0,100900,333037,0,
000032.SZ,000032,20251209,91919840,361353,C,0, ,0,6700,0,354916,
000032.SZ,000032,20251209,91931810,365998,C,0, ,0,1000,0,358183,
000032.SZ,000032,20251209,91934920,367211,C,0, ,0,200,0,360454,
000032.SZ,000032,20251209,91937670,368335,C,0, ,0,200,0,359328,
000032.SZ,000032,20251209,91938990,368834,C,0, ,0,100,288905,0,
000032.SZ,000032,20251209,91947110,371983,C,0, ,0,500,0,345559,
000032.SZ,000032,20251209,91948600,372619,C,0, ,0,100,0,358542,
000032.SZ,000032,20251209,91952790,374271,C,0, ,0,100,0,357137,
000032.SZ,000032,20251209,91955010,375199,C,0, ,0,36300,292460,0,
000032.SZ,000032,20251209,91958280,376614,C,0, ,0,800,0,364264,
000032.SZ,000032,20251209,92500000,555833,0,0,S,194400,100,527086,378144,
000032.SZ,000032,20251209,92500000,555834,0,0,S,194400,100,554493,378144,
000032.SZ,000032,20251209,92500000,555835,0,0,S,194400,100,554493,534273,
000032.SZ,000032,20251209,92500000,555836,0,0,S,194400,100,538114,534273,
000032.SZ,000032,20251209,92500000,555837,0,0,S,194400,100,538685,534273,
000032.SZ,000032,20251209,92500000,555838,0,0,S,194400,100,539682,534273,
000032.SZ,000032,20251209,92500000,555839,0,0,S,194400,200,542256,534273,
000032.SZ,000032,20251209,92500000,555840,0,0,B,194400,1300,204575,534273,
000032.SZ,000032,20251209,92500000,555841,0,0,B,194400,1600,204575,553804,
000032.SZ,000032,20251209,92500000,555842,0,0,B,194400,200,528403,553804,
000032.SZ,000032,20251209,92500000,555843,0,0,B,194400,600,529221,553804,
000032.SZ,000032,20251209,92500000,555844,0,0,B,194400,2400,530445,553804,
000032.SZ,000032,20251209,92500000,555845,0,0,S,194400,100,530445,378395,
000032.SZ,000032,20251209,92500000,555846,0,0,S,194400,100,530445,218816,
000032.SZ,000032,20251209,92500000,555847,0,0,S,194400,500,530445,504181,
000032.SZ,000032,20251209,92500000,555848,0,0,S,194400,400,531797,504181,
000032.SZ,000032,20251209,92500000,555849,0,0,S,194400,200,531880,487623,
000032.SZ,000032,20251209,92500000,555850,0,0,S,194400,800,531880,523802,
000032.SZ,000032,20251209,92500000,555851,0,0,S,194400,700,532095,523802,
000032.SZ,000032,20251209,92500000,555852,0,0,S,194400,500,532817,523802,
000032.SZ,000032,20251209,92500000,555853,0,0,S,194400,1300,532817,438529,
000032.SZ,000032,20251209,92500000,555854,0,0,S,194400,800,530273,438529,
000032.SZ,000032,20251209,92500000,555855,0,0,S,194400,200,531900,438529,
000032.SZ,000032,20251209,92500000,555856,0,0,S,194400,10300,539814,438529,
000032.SZ,000032,20251209,92500000,555857,0,0,S,194400,6800,539816,438529,
000032.SZ,000032,20251209,92500000,555858,0,0,S,194400,2900,545012,438529,
000032.SZ,000032,20251209,92500000,555859,0,0,S,194400,3800,537331,438529,
000032.SZ,000032,20251209,92500000,555860,0,0,S,194400,600,550699,438529,
000032.SZ,000032,20251209,92500000,555861,0,0,S,194400,900,550733,438529,
000032.SZ,000032,20251209,92500000,555862,0,0,S,194400,700,550923,438529,
000032.SZ,000032,20251209,92500000,555863,0,0,S,194400,500,550935,438529,
000032.SZ,000032,20251209,92500000,555864,0,0,S,194400,1600,551170,438529,
000032.SZ,000032,20251209,92500000,555865,0,0,S,194400,4000,551943,438529,
000032.SZ,000032,20251209,92500000,555866,0,0,S,194400,1300,548378,438529,
000032.SZ,000032,20251209,92500000,555867,0,0,B,194400,300,348303,438529,
000032.SZ,000032,20251209,92500000,555868,0,0,S,194400,400,552004,438529,
000032.SZ,000032,20251209,92500000,555869,0,0,S,194400,3300,552080,438529,
000032.SZ,000032,20251209,92500000,555870,0,0,B,194400,3400,103095,438529,
000032.SZ,000032,20251209,92500000,555871,0,0,B,194400,500,430620,438529,
000032.SZ,000032,20251209,92500000,555872,0,0,S,194400,1000,548335,438529,
000032.SZ,000032,20251209,92500000,555873,0,0,S,194400,400,548523,438529,
000032.SZ,000032,20251209,92500000,555874,0,0,S,194400,700,548581,438529,
000032.SZ,000032,20251209,92500000,555875,0,0,S,194400,600,548612,438529,
000032.SZ,000032,20251209,92500000,555876,0,0,B,194400,600,173423,438529,
000032.SZ,000032,20251209,92500000,555877,0,0,S,194400,1000,459119,438529,
000032.SZ,000032,20251209,92500000,555878,0,0,S,194400,1200,531213,438529,
000032.SZ,000032,20251209,92500000,555879,0,0,S,194400,900,531213,455166,
000032.SZ,000032,20251209,92500000,555880,0,0,S,194400,200,531213,504267,
000032.SZ,000032,20251209,92500000,555881,0,0,S,194400,1200,531213,507209,
000032.SZ,000032,20251209,92500000,555882,0,0,B,194400,100,531213,543647,
000032.SZ,000032,20251209,93000040,664908,0,0,S,194200,800,664907,131820,
000032.SZ,000032,20251209,93000040,666211,0,0,B,194400,400,531213,666210,
000032.SZ,000032,20251209,93000050,667038,0,0,S,194200,200,667037,131820,
000032.SZ,000032,20251209,93000050,667714,0,0,S,194200,100,667713,176509,
000032.SZ,000032,20251209,93000060,674349,0,0,S,194200,100,674348,176509,
000032.SZ,000032,20251209,93000070,680514,C,0, ,0,500,0,342677,
000032.SZ,000032,20251209,93000090,694983,0,0,B,194300,200,685816,694982,
000032.SZ,000032,20251209,93000090,695421,0,0,B,194300,1000,685816,695420,
000032.SZ,000032,20251209,93000100,698247,C,0, ,0,300,531213,0,
000032.SZ,000032,20251209,93000120,712077,C,0, ,0,500,0,359125,
000032.SZ,000032,20251209,93000130,715865,C,0, ,0,11800,510002,0,
000032.SZ,000032,20251209,93000130,716602,0,0,B,194300,4700,685816,716601,
000032.SZ,000032,20251209,93000140,720586,0,0,S,194200,1600,720585,176509,
000032.SZ,000032,20251209,93000140,722510,0,0,B,194200,500,720585,722509,
000032.SZ,000032,20251209,93000140,722511,0,0,B,194300,500,685816,722509,
000032.SZ,000032,20251209,93000140,722570,0,0,B,194300,1000,685816,722569,
000032.SZ,000032,20251209,93000170,739631,C,0, ,0,300,0,264201,
000032.SZ,000032,20251209,93000180,742316,0,0,B,194300,400,685816,742315,
000032.SZ,000032,20251209,93000180,744563,C,0, ,0,1000,0,347795,
000032.SZ,000032,20251209,93000190,744772,0,0,B,194300,100,685816,744771,
000032.SZ,000032,20251209,93000190,745498,C,0, ,0,400,0,338277,
000032.SZ,000032,20251209,93000190,746334,0,0,B,194200,800,745585,746333,
000032.SZ,000032,20251209,93000190,746335,0,0,B,194300,3900,685816,746333,
000032.SZ,000032,20251209,93000200,750771,0,0,S,194100,4000,750770,118847,
000032.SZ,000032,20251209,93000200,750772,0,0,S,194100,1000,750770,118908,
000032.SZ,000032,20251209,93000200,750773,0,0,S,194100,200,750770,265725,
000032.SZ,000032,20251209,93000200,750774,0,0,S,194100,200,750770,281951,
000032.SZ,000032,20251209,93000200,750775,0,0,S,194100,100,750770,282993,
