SecurityID,VOLUME_RATIO,ACT,L_ACT,M_ACT,S_ACT,X_ACT,XLS_ORDER_RATIO,L_ORDER_RATIO,M_ORDER_RATIO,S_ORDER_RATIO
600039.SH,1.067640906,0.166879757,0.696066823,0.358341971,0.00704283,,0.01815205,0.191472714,0.392152415,0.398222822
600048.SH,2.746465043,-0.310382666,-0.284899281,-0.284234705,-0.374513035,-0.090270661,0.170508838,0.365253243,0.276611991,0.187625928
600050.SH,1.094711817,-0.429953884,-0.342848979,-0.434217567,-0.453660597,-0.441084807,0.261830311,0.284014145,0.270297447,0.183858098
600051.SH,3.453659976,-0.088644109,-1,-0.075604402,-0.078377304,,,0.082626097,0.335623848,0.581750055
600052.SH,1.367738776,-0.291409891,-0.443193932,-0.40092971,-0.206688216,,0.02516208,0.355337379,0.310130601,0.309369941
600053.SH,2.448803696,-0.268940999,-0.333250743,-0.317460094,-0.23390263,,0.082913216,0.204696794,0.336137673,0.376252317
600054.SH,2.405944798,-0.318936753,-1,-0.351054476,-0.245101409,,0.075897317,0.182306924,0.379793331,0.362002427
600055.SH,1.217823924,-0.55265175,-0.924900954,-0.699659015,-0.388177988,,0.054214033,0.275870069,0.368297222,0.301618676
600056.SH,4.01213649,-0.233891819,-0.14965755,-0.326322268,-0.194023842,,0.040692786,0.268926155,0.36616154,0.324219519
600057.SH,4.99643599,-0.088497127,-0.01469653,-0.094267381,-0.072070273,-0.597019662,0.063542329,0.205357409,0.362859171,0.368241091
600058.SH,10.43314485,-0.074429718,-0.333875266,-0.067836335,0.030227518,-0.675857553,0.368747447,0.29220651,0.177573088,0.161472955
600059.SH,5.919682018,-0.307263135,-0.603308447,-0.321486673,-0.284159142,,0.016503767,0.200458485,0.356707647,0.4263301
600060.SH,1.78255988,-0.111728648,-0.201328355,-0.197970757,-0.093260694,1,0.020145296,0.152570625,0.378869331,0.448414748
600061.SH,5.054304583,-0.248198879,-0.377270694,-0.382962339,-0.140962965,-0.524677405,0.12599363,0.307217349,0.311548491,0.25524053
600062.SH,2.326505186,-0.197865439,0.29261404,-0.351830451,-0.237041803,1,0.147792351,0.236275149,0.342778374,0.273154126
600063.SH,3.937861604,-0.264667487,-0.431099177,-0.300448946,-0.224378049,,0.042488547,0.204341308,0.385848697,0.367321448
600064.SH,3.471221829,-0.352397418,-0.471841824,-0.440114491,-0.282311733,-1,0.172720506,0.228416457,0.308311676,0.290551362
600066.SH,1.796923736,0.04843266,0.173642863,0.074617184,0.025931716,,0.028589839,0.185646663,0.384051731,0.401711767
600067.SH,6.215005251,-0.151266744,-0.069469048,-0.137902273,-0.167043756,1,0.054400037,0.24424907,0.316484077,0.384866816
