万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
600009.SH,600009,20251209,91400030,0,0,S,I,0,0,
600009.SH,600009,20251209,91500190,0,1524,A,S,321900,1200,
600009.SH,600009,20251209,91500400,0,2629,A,S,322900,1200,
600009.SH,600009,20251209,91500400,0,2634,A,S,323900,1200,
600009.SH,600009,20251209,91500400,0,2635,A,S,324900,1200,
600009.SH,600009,20251209,91500400,0,2636,A,S,325900,1200,
600009.SH,600009,20251209,91500400,0,2640,A,S,326900,1200,
600009.SH,600009,20251209,91500400,0,2872,A,B,310000,500,
600009.SH,600009,20251209,91500400,0,2923,A,S,353700,200,
600009.SH,600009,20251209,91500480,0,3439,A,B,300000,500,
600009.SH,600009,20251209,91500480,0,3445,A,S,331200,500,
600009.SH,600009,20251209,91500480,0,3446,A,S,340000,500,
600009.SH,600009,20251209,91500480,0,3449,A,S,350000,500,
600009.SH,600009,20251209,91500520,0,3725,A,B,314100,100,
600009.SH,600009,20251209,91500710,0,3957,A,B,318400,1800,
600009.SH,600009,20251209,91500730,0,4290,A,S,330000,200,
600009.SH,600009,20251209,91500730,0,4384,A,S,331300,100,
600009.SH,600009,20251209,91500730,0,4431,A,S,321400,100,
600009.SH,600009,20251209,91500730,0,4814,A,B,311500,100,
600009.SH,600009,20251209,91500770,0,5045,A,S,335500,100,
600009.SH,600009,20251209,91500770,0,5134,A,B,314500,100,
600009.SH,600009,20251209,91500880,0,5330,A,S,330300,100,
600009.SH,600009,20251209,91500900,0,5427,A,B,314800,1000,
600009.SH,600009,20251209,91500950,0,5485,A,S,340000,3000,
600009.SH,600009,20251209,91501030,0,6167,A,S,353700,200,
600009.SH,600009,20251209,91501120,0,6691,A,S,352000,3100,
600009.SH,600009,20251209,91501120,0,6710,A,S,340000,1500,
600009.SH,600009,20251209,91501180,0,7014,A,S,340000,100,
600009.SH,600009,20251209,91501200,0,7136,A,S,339300,20000,
600009.SH,600009,20251209,91501220,0,7250,A,B,289400,1000,
600009.SH,600009,20251209,91501240,0,7760,A,S,330000,300,
600009.SH,600009,20251209,91501240,0,7939,A,B,312000,600,
600009.SH,600009,20251209,91501310,0,8047,A,S,322900,100,
600009.SH,600009,20251209,91501380,0,8206,A,S,325700,300,
600009.SH,600009,20251209,91501380,0,8207,A,S,329800,300,
600009.SH,600009,20251209,91501380,0,8208,A,S,338800,200,
600009.SH,600009,20251209,91501380,0,8214,A,S,340000,1000,
600009.SH,600009,20251209,91501380,0,8365,A,S,325000,800,
600009.SH,600009,20251209,91501400,0,8416,A,S,330600,600,
600009.SH,600009,20251209,91501420,0,8761,A,S,353700,100,
600009.SH,600009,20251209,91501420,0,8771,A,S,353600,200,
600009.SH,600009,20251209,91501420,0,8886,A,B,300200,100,
600009.SH,600009,20251209,91501420,0,9038,A,S,325100,300,
600009.SH,600009,20251209,91501420,0,9186,A,S,347000,600,
600009.SH,600009,20251209,91501460,0,9295,A,S,324900,500,
600009.SH,600009,20251209,91501460,0,9303,A,S,329900,500,
600009.SH,600009,20251209,91501460,0,9342,A,S,334900,500,
600009.SH,600009,20251209,91501460,0,9348,A,S,339900,500,
600009.SH,600009,20251209,91501460,0,9408,A,S,350000,1000,
600009.SH,600009,20251209,91501460,0,9476,A,B,313700,300,
600009.SH,600009,20251209,91501460,0,9484,A,S,341800,100,
600009.SH,600009,20251209,91501460,0,9491,A,S,353700,8400,
600009.SH,600009,20251209,91501460,0,9579,A,B,310100,1000,
600009.SH,600009,20251209,91501460,0,9626,A,S,339000,400,
600009.SH,600009,20251209,91501460,0,10261,A,B,310200,100,
600009.SH,600009,20251209,91501540,0,10615,A,S,331000,200,
600009.SH,600009,20251209,91501540,0,10637,A,S,334400,200,
600009.SH,600009,20251209,91501540,0,10722,A,S,353000,100,
600009.SH,600009,20251209,91501540,0,10765,A,S,334500,500,
600009.SH,600009,20251209,91501710,0,11534,A,B,310000,400,
600009.SH,600009,20251209,91501710,0,11535,A,S,340000,400,
600009.SH,600009,20251209,91501710,0,11555,A,B,317000,30000,
600009.SH,600009,20251209,91501710,0,11558,A,S,353500,300,
600009.SH,600009,20251209,91501710,0,11566,A,S,350500,200,
600009.SH,600009,20251209,91501710,0,11573,A,S,349500,200,
600009.SH,600009,20251209,91501710,0,11574,A,B,320000,800,
600009.SH,600009,20251209,91501710,0,11578,A,S,348500,200,
600009.SH,600009,20251209,91501710,0,11580,A,S,323500,100,
600009.SH,600009,20251209,91501710,0,11588,A,S,326500,100,
600009.SH,600009,20251209,91501710,0,11591,A,S,346000,200,
600009.SH,600009,20251209,91501710,0,11592,A,S,344000,200,
600009.SH,600009,20251209,91501710,0,11593,A,S,329900,100,
600009.SH,600009,20251209,91501710,0,11594,A,S,341000,200,
600009.SH,600009,20251209,91501710,0,11599,A,S,338800,200,
600009.SH,600009,20251209,91501710,0,11604,A,S,328800,200,
600009.SH,600009,20251209,91501710,0,11605,A,S,341000,200,
600009.SH,600009,20251209,91501710,0,11637,A,S,322500,100,
