万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数,
000068.SZ,000068,20251209,81615000,0,0,0,0,0,,,0,0,0,0,0,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,91500000,0,0,0,0,0,,,0,0,0,0,0,37000,36700,0,0,0,0,0,0,0,0,0,3200,0,0,0,0,0,0,0,0,0,36700,0,0,0,0,0,0,0,0,0,3200,19300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,91509000,0,0,0,0,0,,,0,0,0,0,0,37000,36800,0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,0,36800,0,0,0,0,0,0,0,0,0,6400,51400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,91554000,0,0,0,0,0,,,0,0,0,0,0,37000,36700,0,0,0,0,0,0,0,0,0,81100,0,0,0,0,0,0,0,0,0,36700,0,0,0,0,0,0,0,0,0,81100,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,91603000,0,0,0,0,0,,,0,0,0,0,0,37000,36700,0,0,0,0,0,0,0,0,0,81100,0,0,0,0,0,0,0,0,0,36700,0,0,0,0,0,0,0,0,0,81100,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,91630000,0,0,0,0,0,,,0,0,0,0,0,37000,36700,0,0,0,0,0,0,0,0,0,81100,0,0,0,0,0,0,0,0,0,36700,0,0,0,0,0,0,0,0,0,81100,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,91715000,0,0,0,0,0,,,0,0,0,0,0,37000,36700,0,0,0,0,0,0,0,0,0,81100,0,0,0,0,0,0,0,0,0,36700,0,0,0,0,0,0,0,0,0,81100,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,91724000,0,0,0,0,0,,,0,0,0,0,0,37000,36800,0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,0,36800,0,0,0,0,0,0,0,0,0,6400,57900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,91818000,0,0,0,0,0,,,0,0,0,0,0,37000,36800,0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,0,36800,0,0,0,0,0,0,0,0,0,6400,59900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,91827000,0,0,0,0,0,,,0,0,0,0,0,37000,36800,0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,0,36800,0,0,0,0,0,0,0,0,0,6400,80900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,91912000,0,0,0,0,0,,,0,0,0,0,0,37000,36800,0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,0,36800,0,0,0,0,0,0,0,0,0,6400,81900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,91939000,0,0,0,0,0,,,0,0,0,0,0,37000,36800,0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,0,36800,0,0,0,0,0,0,0,0,0,6400,84900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,92045000,0,0,0,0,0,,,0,0,0,0,0,37000,36800,0,0,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,36800,0,0,0,0,0,0,0,0,0,8400,82900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,92103000,0,0,0,0,0,,,0,0,0,0,0,37000,36900,0,0,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,36900,0,0,0,0,0,0,0,0,0,8400,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,92215000,0,0,0,0,0,,,0,0,0,0,0,37000,37000,0,0,0,0,0,0,0,0,0,9100,4600,0,0,0,0,0,0,0,0,37000,0,0,0,0,0,0,0,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,92242000,0,0,0,0,0,,,0,0,0,0,0,37000,36900,0,0,0,0,0,0,0,0,0,12400,200,0,0,0,0,0,0,0,0,36900,0,0,0,0,0,0,0,0,0,12400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,92300000,0,0,0,0,0,,,0,0,0,0,0,37000,36900,0,0,0,0,0,0,0,0,0,12600,0,0,0,0,0,0,0,0,0,36900,0,0,0,0,0,0,0,0,0,12600,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,92439000,0,0,0,0,0,,,0,0,0,0,0,37000,36900,0,0,0,0,0,0,0,0,0,12600,0,0,0,0,0,0,0,0,0,36900,0,0,0,0,0,0,0,0,0,12600,6800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,92448000,0,0,0,0,0,,,0,0,0,0,0,37000,36900,0,0,0,0,0,0,0,0,0,13300,0,0,0,0,0,0,0,0,0,36900,0,0,0,0,0,0,0,0,0,13300,6100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,92457000,0,0,0,0,0,,,0,0,0,0,0,37000,36900,0,0,0,0,0,0,0,0,0,15300,0,0,0,0,0,0,0,0,0,36900,0,0,0,0,0,0,0,0,0,15300,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000068.SZ,000068,20251209,92500000,36900,19600,72324,21,0,,,19600,72324,36900,36900,36900,37000,37000,37100,37200,37300,37400,37500,37600,37700,37800,37900,7300,19000,3900,90700,21800,66500,43200,24000,3300,2400,36900,36800,36700,36600,36500,36400,36300,36200,36100,36000,10000,90000,47100,82200,14100,11100,13700,8800,45200,37400,39600,36100,1769400,474800,0,0,0,0,0,
000068.SZ,000068,20251209,93000000,37000,6100,22529,26,0,,,25700,94853,37000,36900,36900,37000,37000,37100,37200,37300,37400,37500,37600,37700,37800,37900,5900,19000,3900,90700,21800,66500,45200,224000,3300,4500,36900,36800,36700,36600,36500,36400,36300,36200,36100,36000,6900,88000,28600,82200,16800,11100,13700,8800,45200,37400,39400,36000,2112760,453900,0,0,0,0,0,
000068.SZ,000068,20251209,93003000,37000,16100,59473,46,0,,,41800,154326,37000,36900,36900,37000,37000,37100,37200,37300,37400,37500,37600,37700,37800,37900,140100,19000,43700,96400,81900,86500,60200,236000,15300,4500,36900,36800,36700,36600,36500,36400,36300,36200,36100,36000,59300,171400,46300,84900,68400,20400,31000,9800,53300,55500,39400,36200,3088360,767100,0,0,0,0,0,
000068.SZ,000068,20251209,93006000,36900,8000,29538,62,0,,,49800,183864,37000,36900,36900,37000,37000,37100,37200,37300,37400,37500,37600,37700,37800,37900,179400,19100,80000,118000,91900,86500,60200,236000,15300,4500,36900,36800,36700,36600,36500,36400,36300,36200,36100,36000,60000,171400,46300,114100,70400,20400,31000,9800,53300,56500,39300,36200,3219560,824000,0,0,0,0,0,
