万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号,
000042.SZ,000042,20251209,91504560,260719,C,0, ,0,2000,244416,0,
000042.SZ,000042,20251209,92500000,553670,0,0,B,82700,200,477649,551595,
000042.SZ,000042,20251209,92500000,553671,0,0,B,82700,100,372437,551595,
000042.SZ,000042,20251209,92500000,553672,0,0,B,82700,2400,547570,551595,
000042.SZ,000042,20251209,92500000,553673,0,0,B,82700,100,543616,551595,
000042.SZ,000042,20251209,92500000,553674,0,0,B,82700,100,545591,551595,
000042.SZ,000042,20251209,92500000,553675,0,0,B,82700,1100,545753,551595,
000042.SZ,000042,20251209,92500000,553676,0,0,B,82700,300,528797,551595,
000042.SZ,000042,20251209,92500000,553677,0,0,B,82700,4200,390896,551595,
000042.SZ,000042,20251209,92500000,553678,0,0,B,82700,100,75859,551595,
000042.SZ,000042,20251209,92500000,553679,0,0,B,82700,200,229742,551595,
000042.SZ,000042,20251209,92500000,553680,0,0,B,82700,1000,409891,551595,
000042.SZ,000042,20251209,92500000,553681,0,0,B,82700,1700,157776,551595,
000042.SZ,000042,20251209,92500000,553682,0,0,B,82700,100,157776,450714,
000042.SZ,000042,20251209,92500000,553683,0,0,B,82700,300,157776,451780,
000042.SZ,000042,20251209,92500000,553684,0,0,B,82700,100,157776,374361,
000042.SZ,000042,20251209,92500000,553685,0,0,B,82700,300,157776,501339,
000042.SZ,000042,20251209,92500000,553686,0,0,B,82700,2500,157776,508852,
000042.SZ,000042,20251209,92500000,553687,0,0,S,82700,1000,543838,508852,
000042.SZ,000042,20251209,92500000,553688,0,0,S,82700,3500,550623,508852,
000042.SZ,000042,20251209,92500000,553689,0,0,S,82700,800,550623,520490,
000042.SZ,000042,20251209,92500000,553690,0,0,B,82700,6000,179039,520490,
000042.SZ,000042,20251209,92500000,553691,0,0,S,82700,600,522234,520490,
000042.SZ,000042,20251209,92500000,553692,0,0,B,82700,5000,94356,520490,
000042.SZ,000042,20251209,92500000,553693,0,0,B,82700,1600,179762,520490,
000042.SZ,000042,20251209,93000000,641936,0,0,S,82600,100,641935,467549,
000042.SZ,000042,20251209,93000000,642139,0,0,S,82600,100,642138,467549,
000042.SZ,000042,20251209,93000000,642448,0,0,S,82600,100,642447,467549,
000042.SZ,000042,20251209,93000040,644786,0,0,S,82600,100,644785,467549,
000042.SZ,000042,20251209,93000040,645281,0,0,S,82600,200,645280,467549,
000042.SZ,000042,20251209,93000040,646838,0,0,S,82600,200,646837,467549,
000042.SZ,000042,20251209,93000050,647437,0,0,S,82600,100,647436,467549,
000042.SZ,000042,20251209,93000050,648459,0,0,S,82600,100,648458,467549,
000042.SZ,000042,20251209,93000050,648922,0,0,B,82700,300,179762,648921,
000042.SZ,000042,20251209,93000050,649252,0,0,B,82700,2700,179762,649251,
000042.SZ,000042,20251209,93000050,649506,0,0,S,82600,100,649505,467549,
000042.SZ,000042,20251209,93000050,650599,0,0,S,82600,100,650598,467549,
000042.SZ,000042,20251209,93000050,650647,0,0,S,82600,100,650646,467549,
000042.SZ,000042,20251209,93000050,650650,0,0,S,82600,100,650649,467549,
000042.SZ,000042,20251209,93000050,650676,0,0,S,82600,200,650675,467549,
